Inst,alpha,N,Delta,time
newinstances/instance0_11950.npz,1,1024,4,0.24094057083129883
newinstances/instance0_11951.npz,1,1024,128,0.6758155822753906
newinstances/instance0_11952.npz,1,1024,64,0.38007307052612305
newinstances/instance0_11953.npz,1,1024,32,0.9432568550109863
newinstances/instance0_11954.npz,1,1024,16,0.3430356979370117
newinstances/instance0_11955.npz,1,1024,8,0.2744741439819336
newinstances/instance0_11956.npz,1,1024,4,0.2661900520324707
newinstances/instance0_11957.npz,1,1024,128,0.2733943462371826
newinstances/instance0_11958.npz,1,1024,64,7.816066741943359
newinstances/instance0_11959.npz,1,1024,32,0.6924223899841309
newinstances/instance0_11960.npz,1,1024,16,0.20919013023376465
newinstances/instance0_11961.npz,1,1024,8,0.2762749195098877
newinstances/instance0_11962.npz,1,1024,128,0.8684048652648926
newinstances/instance0_11963.npz,1,1024,64,10.44104528427124
newinstances/instance0_11964.npz,1,1024,32,1.2752647399902344
newinstances/instance0_11965.npz,1,1024,16,0.5457851886749268
newinstances/instance0_11966.npz,1,1024,8,0.27716541290283203
newinstances/instance0_11967.npz,1,1024,128,0.24933815002441406
newinstances/instance0_11968.npz,1,1024,64,8.668955564498901
newinstances/instance0_11969.npz,1,1024,32,0.7295029163360596
newinstances/instance0_11970.npz,1,1024,16,0.39744043350219727
newinstances/instance0_11971.npz,1,1024,8,0.27643585205078125
newinstances/instance0_11972.npz,1,1024,128,1.0799148082733154
newinstances/instance0_11973.npz,1,1024,64,9.089497327804565
newinstances/instance0_11974.npz,1,1024,32,0.8816065788269043
newinstances/instance0_11975.npz,1,1024,16,0.4157979488372803
newinstances/instance0_11976.npz,1,1024,8,0.3078749179840088
newinstances/instance0_11977.npz,1,1024,4,0.30702924728393555
newinstances/instance0_11978.npz,1,1024,128,0.4298129081726074
newinstances/instance0_11979.npz,1,1024,64,8.922906398773193
newinstances/instance0_11980.npz,1,1024,32,0.7318277359008789
newinstances/instance0_11981.npz,1,1024,16,0.21119952201843262
newinstances/instance0_11982.npz,1,1024,8,0.2966148853302002
newinstances/instance0_11983.npz,1,1024,4,0.15802907943725586
newinstances/instance0_11984.npz,1,1024,128,0.5572428703308105
newinstances/instance0_11985.npz,1,1024,64,10.5152587890625
newinstances/instance0_11986.npz,1,1024,32,0.5998702049255371
newinstances/instance0_11987.npz,1,1024,16,0.37805771827697754
newinstances/instance0_11988.npz,1,1024,8,0.24130773544311523
newinstances/instance0_11989.npz,1,1024,4,0.2818279266357422
newinstances/instance0_11990.npz,1,1024,128,0.24817252159118652
newinstances/instance0_11991.npz,1,1024,64,8.771155595779419
newinstances/instance0_11992.npz,1,1024,32,0.5598609447479248
newinstances/instance0_11993.npz,1,1024,16,0.3433525562286377
newinstances/instance0_11994.npz,1,1024,8,0.2880115509033203
newinstances/instance0_11995.npz,1,1024,4,0.21461868286132812
newinstances/instance0_11996.npz,1,1024,2,0.3210432529449463
newinstances/instance0_11997.npz,1,1024,128,0.5267069339752197
newinstances/instance0_11998.npz,1,1024,64,9.489361047744751
newinstances/instance0_11999.npz,1,1024,32,0.7816438674926758
newinstances/instance0_12.npz,"1,00E-07",256,8,0.015491485595703125
newinstances/instance0_12000.npz,1,1024,16,0.3377246856689453
newinstances/instance0_12001.npz,1,1024,8,0.2308056354522705
newinstances/instance0_12002.npz,1,1024,4,0.2428123950958252
newinstances/instance0_12003.npz,1,1024,128,0.5341081619262695
newinstances/instance0_12004.npz,1,1024,64,8.895981550216675
newinstances/instance0_12005.npz,1,1024,32,0.702364444732666
newinstances/instance0_12006.npz,1,1024,16,0.5980484485626221
newinstances/instance0_12007.npz,1,1024,8,0.2677028179168701
newinstances/instance0_12008.npz,1,1024,4,0.3978555202484131
newinstances/instance0_12009.npz,1,1024,128,0.434490442276001
newinstances/instance0_12010.npz,1,1024,64,8.503791332244873
newinstances/instance0_12011.npz,1,1024,32,0.5485386848449707
newinstances/instance0_12012.npz,1,1024,16,0.22200322151184082
newinstances/instance0_12013.npz,1,1024,8,0.49110913276672363
newinstances/instance0_12014.npz,1,1024,4,0.1566476821899414
newinstances/instance0_12015.npz,1,1024,128,0.5784800052642822
newinstances/instance0_12016.npz,1,1024,64,9.074406147003174
newinstances/instance0_12017.npz,1,1024,32,1.52540922164917
newinstances/instance0_12018.npz,1,1024,16,0.4774770736694336
newinstances/instance0_12019.npz,1,1024,8,0.2902863025665283
newinstances/instance0_12020.npz,1,1024,4,0.24750614166259766
newinstances/instance0_12021.npz,1,1024,128,0.27222156524658203
newinstances/instance0_12022.npz,1,1024,64,9.362054586410522
newinstances/instance0_12023.npz,1,1024,32,0.5737273693084717
newinstances/instance0_12024.npz,1,1024,16,0.30384230613708496
